Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux,Value
2385,2.0495495495495497,0.8028652168061973,"[14, 5]",9,8,7,3,0,1,-2.848883073864152e-07
2386,2.0405405405405403,0.8033727972057582,"[5, 17, 14, 26]",9,8,7,2,0,1,-6.594014919079113e-07
2387,2.1576576576576576,0.8113504244348972,"[14, 17, 5]",6,7,7,2,0,3,2.8523995745003783e-06
2388,2.054054054054054,0.7767881177453528,"[17, 14, 26, 5]",9,8,9,0,0,1,2.306214826982119e-06
2389,2.081081081081081,0.8142968555519061,"[5, 17, 14]",9,8,7,4,1,1,-2.0361756047367717e-07
2390,2.121621621621621,0.7951101014177496,"[14, 5, 26, 17]",7,7,9,2,0,2,3.055129107078832e-06
2391,2.036036036036036,0.8119907710498862,"[5, 14, 17]",9,6,9,4,0,0,-1.6252652734795054e-06
2392,2.009009009009009,0.8182919579375432,"[14, 17, 5]",9,7,9,4,0,0,-3.193621957485766e-06
2393,2.009009009009009,0.7786227020423082,"[5, 14]",9,6,7,1,0,0,4.991195159173686e-07
2394,2.175675675675676,0.7311697955354746,"[14, 5, 17]",6,8,9,0,0,1,1.0970800556654522e-05
2395,2.0405405405405403,0.7805182613287018,"[5, 14, 26]",9,7,2,1,1,1,1.468087178700694e-06
2396,2.108108108108108,0.7592727092970498,"[5, 17, 14]",9,8,7,0,1,2,5.900273977963873e-06
2397,2.175675675675676,0.7555186066047692,"[14, 5, 17]",7,8,8,1,0,2,8.704212428530797e-06
2398,2.0675675675675675,0.7901729190628471,"[17, 5, 14, 26]",9,6,7,1,0,3,1.5511422645697663e-06
2399,2.0135135135135136,0.8209900751144732,"[14, 5]",9,7,9,3,0,1,-3.281153246913841e-06
2400,2.036036036036036,0.8285398804747766,"[14, 5, 26, 17]",9,8,7,4,0,1,-3.165792851878593e-06
2401,2.130630630630631,0.7586953308346966,"[5, 17, 14]",5,8,9,0,0,1,6.77217966447512e-06
2402,2.099099099099099,0.806702185118088,"[14, 5]",7,8,9,2,0,0,1.1578838236506075e-06
2403,2.0495495495495497,0.8140590297199426,"[5, 17, 14, 26]",7,6,5,5,0,0,-1.326900723784384e-06
2404,2.1531531531531534,0.7981675642375304,"[14, 17, 5]",9,7,9,0,0,2,3.91593720727387e-06
2405,1.9054054054054053,0.8100430509578108,"[5, 17, 14]",9,7,9,3,0,0,-6.189274944874137e-06
2406,2.0855855855855854,0.8221313044655548,"[5, 14]",9,8,5,4,0,1,-7.692809649943586e-07
2407,1.9864864864864864,0.7929538666645037,"[14, 17, 5, 26]",9,7,7,1,0,1,-1.6531020076970273e-06
2408,2.054054054054054,0.8275552813385176,"[5, 17, 14]",7,7,7,3,0,0,-2.4196114144433173e-06
2409,2.0225225225225225,0.8207914384685622,"[5, 14]",9,7,9,4,0,0,-2.935399094703545e-06
2410,2.121621621621621,0.8120033218180284,"[14, 26, 5, 17]",9,8,6,4,0,1,1.4825688413607445e-06
2411,2.0135135135135136,0.815459949771178,"[14, 5]",9,8,6,1,0,1,-2.766363575480737e-06
2412,2.112612612612613,0.7615912274102535,"[14, 26, 5, 17]",7,7,2,0,1,1,5.848078899771782e-06
2413,2.0225225225225225,0.8317440309221363,"[14, 5, 26]",9,7,9,2,0,1,-3.954956721431146e-06
2414,2.112612612612613,0.7615912274102535,"[5, 14, 17]",9,8,5,0,0,1,5.848078899771782e-06
2415,2.112612612612613,0.779211472538248,"[17, 14, 5]",9,7,9,1,0,3,4.207841176948987e-06
2416,2.112612612612613,0.8077248217762689,"[14, 5, 17]",5,7,9,1,0,1,1.553583492989877e-06
2417,2.0945945945945947,0.8100430509578107,"[5, 14, 17]",9,7,6,3,0,1,6.83256773087012e-07
2418,2.0135135135135136,0.7929538666645037,"[5, 14, 26]",5,8,7,0,0,1,-6.713117622740041e-07
2419,2.054054054054054,0.7997492575132488,"[14, 5, 26, 17]",9,7,5,2,0,0,1.688025870993893e-07
2420,2.121621621621621,0.8007807734531344,"[5, 17, 14, 26]",9,8,6,2,0,1,2.52725619052009e-06
2421,2.0225225225225225,0.8317440309221363,"[14, 17, 5]",9,7,5,5,0,1,-3.954956721431146e-06
2422,2.058558558558558,0.8022556964196214,"[5, 14, 29]",5,7,9,3,0,0,9.91142917800605e-08
2423,2.1486486486486487,0.7553567213218728,"[17, 14, 5, 26]",7,8,7,1,0,1,7.737491800235556e-06
2424,2.130630630630631,0.7821877652156126,"[26, 5, 14]",9,8,9,0,0,1,4.58531014066258e-06
2425,2.0675675675675675,0.7728026402344472,"[14, 17, 5]",9,7,7,2,0,1,3.1681110628656176e-06
2426,2.058558558558558,0.7908948444176503,"[14, 5, 26]",8,8,9,1,0,1,1.1566760840069892e-06
2427,2.112612612612613,0.7733826641317795,"[5, 14, 17, 29]",9,8,6,1,0,1,4.750434731008388e-06
2428,2.0495495495495497,0.8251009946545252,"[14, 5, 29, 17, 26]",9,7,9,4,0,0,-2.354777878059273e-06
2429,2.09009009009009,0.8243966618688146,"[5, 14]",9,7,9,1,0,0,-8.165274059121968e-07
2430,1.9954954954954955,0.8043869971326539,"[17, 14, 5, 29]",9,7,7,3,0,0,-2.3901286604631928e-06
2431,2.144144144144144,0.811086605357833,"[14, 26, 17, 5]",9,8,8,3,0,0,2.38606290708037e-06
2432,2.1171171171171173,0.7638760262677337,"[14, 5, 17]",9,8,9,0,0,1,5.799022687970077e-06
2433,1.9774774774774773,0.8040828714730361,"[5, 17, 14, 29]",9,8,9,1,0,1,-3.0163449663592293e-06
2434,2.0675675675675675,0.812756013230862,"[14, 5, 17]",9,7,9,2,0,1,-5.510783733024517e-07
2435,2.036036036036036,0.7719977953210722,"[5, 14]",7,8,7,0,0,1,2.097610711606371e-06
2436,1.963963963963964,0.8554105460627882,"[17, 14, 5]",9,8,7,4,0,1,-8.285243316342883e-06
2437,2.063063063063063,0.8158972439879524,"[14, 17, 5]",9,8,7,2,0,1,-1.0071217440731008e-06
2438,2.0135135135135136,0.809892064367318,"[5, 17, 14]",9,7,5,3,0,0,-2.248058886219857e-06
2439,2.0135135135135136,0.8209900751144731,"[14, 5, 17]",7,7,9,4,0,1,-3.281153246913841e-06
2440,2.108108108108108,0.8055390972066664,"[5, 14, 17]",9,7,5,2,0,1,1.5934170530544005e-06
2441,2.0405405405405403,0.808985553051388,"[17, 5, 14]",9,7,7,2,0,1,-1.181883091915255e-06
2442,2.0675675675675675,0.7901729190628471,"[17, 14, 5, 29]",7,8,9,0,0,1,1.5511422645697663e-06
2443,2.045045045045045,0.8003097521080377,"[14, 5, 17]",5,8,9,3,0,0,-2.106362870737022e-07
2444,2.0495495495495497,0.7915131135022022,"[5, 17, 14, 26]",9,7,2,1,1,0,7.718590838863006e-07
2445,2.081081081081081,0.8198348264848099,"[14, 26, 5, 17]",9,7,9,4,0,0,-7.191375640866319e-07
2446,2.108108108108108,0.8111368632260447,"[26, 14, 5]",7,7,7,3,0,1,1.0723308296889535e-06
2447,2.0135135135135136,0.8897593844742508,"[14, 17, 5, 29]",9,7,9,6,0,0,-9.68276767196905e-06
2448,2.027027027027027,0.8123421192596431,"[14, 26, 5]",5,7,5,1,0,1,-1.985235077396787e-06
2449,2.0675675675675675,0.7669251247662162,"[14, 17, 5, 26]",9,8,5,0,0,2,3.7152386718993023e-06
2450,2.0855855855855854,0.8110489099129118,"[14, 5, 17]",8,8,2,3,1,1,2.623597115346391e-07
2451,2.036036036036036,0.823060483671462,"[26, 14, 17, 5]",9,6,7,6,0,1,-2.655725411282537e-06
2452,2.058558558558558,0.8078762134098192,"[5, 14]",6,8,9,2,0,0,-4.240897795663849e-07
2453,2.054054054054054,0.7531272700199773,"[17, 5, 29, 14]",9,8,7,0,0,1,4.508761653726761e-06
2454,2.0315315315315314,0.8259898197067457,"[5, 14]",7,7,7,3,0,0,-3.092043873946065e-06
2455,2.027027027027027,0.7954560939839984,"[14, 5]",9,6,7,2,0,2,-4.133445932146375e-07
2456,2.0225225225225225,0.7927482050973127,"[14, 5]",7,8,7,0,0,1,-3.249036724595677e-07
2457,2.063063063063063,0.7990863479500622,"[5, 14, 17]",7,8,6,0,0,1,5.577750911015325e-07
2458,2.0495495495495497,0.8140590297199426,"[17, 14, 5]",9,8,9,5,0,0,-1.326900723784384e-06
2459,2.0765765765765765,0.8230233366445514,"[14, 17, 5]",9,8,9,3,0,1,-1.179582091548204e-06
2460,2.0315315315315314,0.8149598976316995,"[5, 14, 29]",9,6,9,1,0,1,-2.0652877683489327e-06
2461,2.0945945945945947,0.8100430509578108,"[5, 17, 14, 26]",9,7,5,1,0,1,6.832567730869984e-07
2462,2.09009009009009,0.78503594810101,"[17, 14, 26, 5]",7,8,5,2,0,3,2.8474924218603083e-06
2463,2.108108108108108,0.7769455375702022,"[17, 14, 5, 26]",9,6,7,1,0,2,4.255141382360022e-06
2464,2.130630630630631,0.8049949037575448,"[5, 17, 4, 26, 14]",9,7,9,2,0,1,2.4622336048720232e-06
2465,2.0765765765765765,0.760144658173241,"[5, 14, 17]",9,8,2,1,1,0,4.673683833000711e-06
2466,2.09009009009009,0.8243966618688144,"[5, 14, 26]",7,7,9,3,0,0,-8.165274059121968e-07
2467,2.027027027027027,0.8343253644387617,"[26, 5, 14]",9,7,5,3,0,1,-4.031616824695273e-06
2468,2.0945945945945947,0.8100430509578108,"[5, 14, 17]",8,8,7,3,0,1,6.832567730869984e-07
2469,2.126126126126126,0.8196359098674247,"[14, 17, 5, 26]",9,6,9,3,0,1,9.356963107412882e-07
2470,2.072072072072072,0.7635557651847168,"[14, 5, 26]",7,7,7,0,0,1,4.192518154922672e-06
2471,2.0495495495495497,0.7915131135022022,"[14, 5, 17, 26]",7,7,9,2,0,1,7.718590838863006e-07
2472,2.0,0.7902116103552715,"[14, 5, 17]",9,7,7,1,0,1,-9.06935053556496e-07
2473,2.1171171171171173,0.7986270882211046,"[14, 17, 5, 26]",9,6,7,1,0,1,2.5641072648292595e-06
2474,2.058558558558558,0.796595523890309,"[14, 5, 17]",9,7,2,1,1,1,6.26009827728831e-07
2475,1.9774774774774773,0.8371665943707141,"[5, 14, 17]",9,7,9,5,0,0,-6.096050720393994e-06
2476,2.054054054054054,0.78259156245517,"[17, 14, 5]",8,8,9,2,0,1,1.76598233497013e-06
2477,1.9414414414414407,0.8190015407218109,"[14, 17, 5]",6,8,2,6,1,1,-5.714151388215975e-06
2478,2.018018018018018,0.8070053236714507,"[17, 5, 14]",9,7,7,2,0,0,-1.8157055490140107e-06
2479,2.036036036036036,0.8285398804747766,"[14, 5]",7,8,9,4,0,1,-3.165792851878593e-06
2480,2.045045045045045,0.8280969557349607,"[17, 5, 14]",8,7,9,3,0,1,-2.797298349352582e-06
2481,2.0675675675675675,0.8071694761865497,"[5, 14, 26]",9,8,5,3,0,1,-3.103743553650956e-08
2482,2.009009009009009,0.8238030724517321,"[14, 29, 5]",9,8,9,2,0,0,-3.706641944171832e-06
2483,2.0945945945945947,0.8320870383725869,"[14, 5]",9,7,9,4,0,0,-1.3687793624206194e-06
2484,2.0405405405405403,0.8631079669441254,"[14, 5, 26]",9,8,7,5,0,0,-6.220043700478855e-06
2485,2.0045045045045047,0.8155599234068583,"[14, 5]",9,7,9,1,0,0,-3.1029333610688923e-06
2486,2.0405405405405403,0.8145596348957617,"[14, 5]",9,7,5,3,0,1,-1.70076459695842e-06
