Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux
208,2.1126126126126126,0.7733826641317795,"[5, 14, 17]",9,8,7,2,0,1
209,2.0495495495495497,0.8028652168061973,"[14, 17, 5]",9,9,9,3,0,1
210,2.0225225225225225,0.8040828714730361,"[17, 5, 14]",9,8,7,1,0,1
211,2.0765765765765765,0.8285029791239055,"[5, 26, 14, 17]",4,7,9,5,0,0
212,2.1981981981981984,0.793865847082591,"[17, 5, 14, 26]",7,6,9,3,0,1
213,2.0855855855855854,0.8166089076336227,"[17, 14, 5]",9,8,7,4,0,1
214,2.0135135135135136,0.7872268166815277,"[5, 17, 14]",7,6,7,1,0,1
215,2.130630630630631,0.7936732624728557,"[5, 26, 14, 29, 17]",9,7,6,1,0,1
216,2.063063063063063,0.8103323632877316,"[5, 17, 14, 29]",9,6,7,4,0,2
217,2.144144144144144,0.7941738853197862,"[14, 17, 5]",7,8,5,3,1,2
218,2.036036036036036,0.8554105460627882,"[17, 14, 5]",9,7,7,4,0,1
219,2.054054054054054,0.7997492575132485,"[17, 14, 5]",8,7,6,1,0,1
220,2.184684684684685,0.7770111197511066,"[17, 26, 14, 5]",9,7,9,1,0,1
221,2.081081081081081,0.7860219463751896,"[5, 14, 17]",7,8,9,1,0,1
222,2.054054054054054,0.822069321843126,"[14, 5]",9,6,9,2,0,1
223,2.220720720720721,0.7792114725382481,"[14, 5, 26]",3,7,8,2,0,1
224,2.1171171171171173,0.7872138708948209,"[26, 5, 14]",9,8,9,1,1,1
225,2.1036036036036037,0.7687832459562144,"[5, 14, 17]",9,7,6,2,0,0
226,2.0720720720720722,0.798320768288509,"[5, 14, 17]",4,7,9,3,0,2
227,2.0675675675675675,0.812756013230862,"[14, 5, 17]",3,8,7,3,0,1
228,2.0495495495495497,0.7915131135022021,"[14, 26, 5]",9,8,2,2,1,1
229,2.1216216216216215,0.8120033218180284,"[5, 17, 14, 29]",5,8,7,3,0,1
230,2.099099099099099,0.806702185118088,"[5, 14]",7,6,7,1,0,0
231,2.063063063063063,0.7990863479500622,"[5, 17, 14]",9,6,7,4,0,1
232,2.130630630630631,0.7821877652156126,"[5, 14]",9,6,5,3,0,1
233,2.081081081081081,0.8198348264848099,"[14, 5, 17]",9,8,9,4,0,1
234,2.081081081081081,0.8362287151158745,"[14, 17, 26, 5]",9,7,9,6,0,1
235,2.1486486486486487,0.8074724393111101,"[14, 5]",8,6,7,1,0,1
236,2.0585585585585586,0.7735407769855778,"[5, 14]",9,7,5,2,0,0
237,2.0855855855855854,0.7410823498121172,"[14, 5, 17, 29]",7,7,5,1,0,2
238,2.1171171171171173,0.7929410143792942,"[14, 17, 5]",7,7,6,1,0,2
239,2.22972972972973,0.7408072635554935,"[5, 14, 26]",9,8,6,2,0,1
240,2.126126126126126,0.8029032964667868,"[5, 14]",9,8,7,3,0,2
241,2.0225225225225225,0.8425542596687264,"[17, 14, 5]",9,7,9,5,0,2
242,2.126126126126126,0.7915517392855129,"[14, 5, 17, 29]",9,6,6,3,0,0
243,2.108108108108108,0.8166962621684045,"[14, 5, 26, 17]",9,7,6,2,0,1
244,2.063063063063063,0.826914663226169,"[14, 17, 29, 5]",9,7,5,5,0,1
245,2.0,0.8561726894780893,"[5, 17, 14]",9,8,9,6,2,0
246,2.126126126126126,0.7972477216785111,"[14, 5]",8,8,9,2,0,1
247,2.135135135135135,0.7957635166404936,"[17, 14, 5]",9,8,6,1,0,1
248,2.144144144144144,0.8331029806773694,"[14, 5]",3,8,9,4,0,0
249,2.108108108108108,0.8111368632260447,"[17, 14, 5]",9,7,9,1,0,1
250,2.0495495495495497,0.7972093718726632,"[14, 17, 5, 29]",9,8,7,2,0,1
251,2.0765765765765765,0.8063610180276339,"[14, 5]",9,9,5,3,0,2
252,2.0720720720720722,0.8584075724228977,"[14, 5]",9,8,7,5,0,1
253,2.171171171171171,0.8113881058720657,"[32, 5, 17, 14, 29]",5,8,7,3,0,2
254,2.09009009009009,0.7964803747250551,"[5, 14]",6,8,7,2,0,0
255,2.0495495495495497,0.825100994654525,"[5, 26, 14]",9,8,9,4,0,0
256,2.1576576576576576,0.7944433207999924,"[17, 5, 14, 26]",8,7,6,2,1,1
257,2.0855855855855854,0.7941353870744926,"[5, 14]",9,8,9,1,0,1
258,2.0765765765765765,0.7777976746020019,"[5, 26, 14]",7,7,6,3,1,0
259,2.0945945945945947,0.793108077841898,"[14, 5]",7,7,7,0,0,2
260,2.063063063063063,0.7876797851721572,"[5, 14]",9,8,7,2,0,2
261,2.081081081081081,0.7685578565836623,"[5, 14, 17]",9,9,3,2,1,2
262,2.0765765765765765,0.8119531175814391,"[17, 14, 5]",9,8,7,4,0,0
263,2.036036036036036,0.8175443633380667,"[14, 5]",9,6,2,2,1,2
264,2.171171171171171,0.7772078330901726,"[5, 17, 14, 29]",9,7,5,0,0,1
265,2.081081081081081,0.8253356386786131,"[14, 17, 29, 5]",9,7,3,3,1,2
266,2.1216216216216215,0.736004304212946,"[5, 17, 14]",8,8,8,1,1,0
267,2.0225225225225225,0.7812491082706582,"[5, 14]",8,8,5,2,0,1
268,2.018018018018018,0.7957122877791638,"[5, 14, 29]",6,7,7,1,0,2
269,2.0720720720720722,0.7694590179486329,"[14, 5, 17]",9,7,2,0,1,0
270,2.1216216216216215,0.7951101014177496,"[14, 5, 17]",9,7,7,3,0,2
271,2.144144144144144,0.776893067839427,"[5, 17, 14]",9,8,8,2,0,1
272,2.0135135135135136,0.8154599497711779,"[14, 5, 17]",9,7,5,4,0,1
273,2.1621621621621623,0.7849320867592706,"[14, 5, 17]",8,8,9,0,0,1
274,2.081081081081081,0.8142968555519062,"[5, 17, 26, 14]",9,8,7,4,0,1
275,2.045045045045045,0.7946357187816142,"[14, 17, 5]",7,6,9,2,0,1
276,2.0135135135135136,0.809892064367318,"[5, 14, 17, 29]",5,8,7,4,0,1
277,2.130630630630631,0.8326257645868875,"[14, 5, 17]",9,7,6,4,0,0
278,2.130630630630631,0.8216849252253489,"[26, 17, 5, 14]",9,7,9,3,0,2
279,2.0945945945945947,0.7640494449705395,"[17, 14, 5]",2,8,6,0,1,1
280,2.0405405405405403,0.7805182613287018,"[26, 5, 14]",9,8,5,0,1,1
