Id,Mean,Std,Problems,TMnonouverts
46,2.141732283464567,0.7530299583915773,[],"[5, 17, 16, 26]"
47,2.1102362204724407,0.7890957901162905,['153 non attribué'],"[5, 16, 26, 19]"
48,1.968503937007874,0.7961914090876715,[],"[16, 26, 5]"
49,2.0551181102362204,0.819476087123858,['139 non attribué'],"[16, 5, 26, 17]"
50,2.0078740157480315,0.8590883225296232,"[(17, 'Pas assez : 1<6.0')]","[16, 5, 19, 26, 23]"
51,2.141732283464567,0.7634966497033479,[],"[16, 5, 19, 23, 26]"
52,2.15748031496063,0.867629472982103,"[(17, 'Pas assez : 1<6.0'), '262 non attribué', '147 non attribué', '91 non attribué']","[5, 16, 23, 26]"
53,2.031496062992126,0.8539079898578693,[],"[16, 26, 5, 23]"
54,1.984251968503937,0.8260083012813956,"[(4, 'Pas assez : 1<6.0'), '153 non attribué']","[16, 5, 26, 23]"
55,2.078740157480315,0.8028352458294336,[],"[26, 16, 19, 23, 17, 5]"
56,1.905511811023622,0.8492113135245685,"[(10, 'Pas assez : 1<10.0'), '86 non attribué', '118 non attribué', '139 non attribué']","[16, 5, 23, 26]"
57,2.031496062992126,0.7961914090876715,[],"[16, 5, 19, 26]"
58,2.0393700787401574,0.820390681255744,['262 non attribué'],"[16, 17, 26, 5]"
59,2.0866141732283463,0.7666006394678039,"['86 non attribué', '114 non attribué']","[26, 16, 5]"
60,1.8346456692913387,0.7428364720764385,[],"[5, 16, 26, 19, 23]"
61,2.015748031496063,0.796662203299949,"['179 non attribué', (4, 'Pas assez : 1<6.0'), '153 non attribué']","[26, 19, 5, 16, 23]"
62,2.1102362204724407,0.8283503060126894,"['86 non attribué', '119 non attribué']","[5, 16, 19, 26]"
63,2.1338582677165356,0.8200097243365466,['147 non attribué'],"[26, 16, 5, 23]"
64,1.8031496062992125,0.7770453815958033,"[(5, 'Pas assez : 1<8.0')]","[26, 16, 23]"
65,2.188976377952756,0.8040797112085672,[],"[5, 16, 19, 23, 26]"
66,2.078740157480315,0.7928880224047976,[],"[16, 5, 23, 26]"
67,2.047244094488189,0.764886833797285,[],"[16, 5, 26, 23]"
68,2.188976377952756,0.7941480756787345,"[(19, 'Pas assez : 1<4.0'), (4, 'Pas assez : 1<6.0'), '227 non attribué']","[5, 16, 26, 23]"
69,2.1102362204724407,0.7990902213469192,['86 non attribué'],"[26, 16, 5]"
70,2.0866141732283463,0.7768845192854996,"[(19, 'Pas assez : 1<4.0')]","[5, 16, 26]"
71,2.1811023622047245,0.8396647368987225,[],"[16, 5, 23, 26]"
72,2.1181102362204722,0.7828942358817874,"['119 non attribué', (5, 'Pas assez : 1<8.0')]","[16, 26, 23]"
73,2.047244094488189,0.775193449655924,[],"[26, 5, 19, 16, 23]"
74,2.141732283464567,0.8040019885549414,[],"[16, 5, 26, 23]"
75,1.9763779527559056,0.7914680646038974,['147 non attribué'],"[5, 16, 17, 26]"
76,2.204724409448819,0.7594754108182472,[],"[5, 16, 26]"
77,2.125984251968504,0.7967406419555124,['86 non attribué'],"[26, 5, 16, 23]"
78,2.062992125984252,0.8140437129566042,['86 non attribué'],"[16, 5, 26]"
79,1.9921259842519685,0.7291663318870087,[],"[16, 5, 23, 26]"
80,1.8267716535433072,0.7877483300972803,['147 non attribué'],"[16, 26, 5]"
81,1.8818897637795275,0.8127376158367322,['262 non attribué'],"[5, 16, 17, 26, 23]"
82,2.2283464566929134,0.8469269976406371,['147 non attribué'],"[5, 16, 19, 26, 23]"
83,2.0393700787401574,0.8300083648760894,"[(19, 'Pas assez : 1<4.0')]","[16, 5, 26, 23]"
84,2.078740157480315,0.8126607212232068,[],"[16, 5, 23, 26]"
85,2.0078740157480315,0.8213042569076934,['86 non attribué'],"[26, 5, 16, 23]"
86,2.0393700787401574,0.7496197427897378,[],"[16, 23, 5, 26]"
87,1.9291338582677164,0.7784916466119076,['86 non attribué'],"[5, 16, 26]"
88,1.905511811023622,0.7810561720561535,[],"[16, 26, 5]"
89,2.220472440944882,0.8058652633332504,['262 non attribué'],"[5, 17, 26, 16, 19]"
90,2.125984251968504,0.8260839534591686,['86 non attribué'],"[5, 16, 19, 26, 23]"
91,2.094488188976378,0.8109671950985806,['153 non attribué'],"[5, 16, 26]"
92,2.0866141732283463,0.7970543193857579,"[(4, 'Pas assez : 1<6.0')]","[5, 26, 23, 16]"
93,2.1023622047244093,0.8050894229075677,"['86 non attribué', (10, 'Pas assez : 2<10.0')]","[5, 16, 26, 23]"
94,2.0078740157480315,0.7917838308500943,['153 non attribué'],"[5, 26, 16]"
95,2.125984251968504,0.7558462721027462,[],"[5, 16, 23, 26]"
96,2.0236220472440944,0.7711521675660435,['153 non attribué'],"[16, 5, 26, 23]"
97,2.0236220472440944,0.8209998446448615,['147 non attribué'],"[16, 23, 5, 26]"
98,2.0393700787401574,0.8008088649267264,[],"[5, 16, 4, 26]"
99,1.984251968503937,0.7764822177105523,[],"[5, 16, 23, 26]"
100,2.0078740157480315,0.8115834316579426,[],"[5, 26, 16]"
101,1.952755905511811,0.8151177509302044,['153 non attribué'],"[16, 26, 5, 23]"
102,2.0551181102362204,0.8291043801843316,['58 non attribué'],"[16, 5, 26, 19, 23]"
103,2.15748031496063,0.7498697966387305,[],"[5, 16, 26]"
104,1.9133858267716535,0.8069501867677517,[],"[16, 5, 23, 26]"
105,1.905511811023622,0.8206953194694576,[],"[26, 16, 5, 23]"
106,1.9606299212598426,0.7496197427897378,[],"[16, 5, 26, 23]"
107,2.047244094488189,0.8624279838030503,['227 non attribué'],"[5, 16, 26, 23]"
108,2.0078740157480315,0.781695988810634,[],"[16, 5, 26]"
109,2.0866141732283463,0.7768845192854996,[],"[16, 5, 26, 23]"
110,2.15748031496063,0.7910731795498283,[],"[5, 16, 26, 23]"
111,2.1102362204724407,0.7890957901162904,['119 non attribué'],"[16, 5, 23, 26]"
112,2.0078740157480315,0.8017447540637024,[],"[16, 5, 23, 26]"
113,1.968503937007874,0.7446849538831388,[],"[16, 5, 23, 26]"
114,2.1496062992125986,0.8269156706153362,"[(16, 'Pas assez : 1<8.0'), '139 non attribué']","[5, 23, 26]"
115,2.1338582677165356,0.790440953131511,[],"[16, 5, 26]"
116,2.062992125984252,0.8042351339820701,[],"[5, 16, 23, 26]"
117,2.078740157480315,0.8414490450633778,['262 non attribué'],"[16, 17, 26, 19, 5, 23]"
118,2.220472440944882,0.8058652633332504,"[(16, 'Pas assez : 1<8.0'), '139 non attribué']","[5, 26, 23]"
119,2.0236220472440944,0.8495056165358381,['262 non attribué'],"[16, 17, 19, 5, 23, 26]"
120,2.1181102362204722,0.7828942358817875,"['251 non attribué', (4, 'Pas assez : 2<6.0')]","[16, 5, 26]"
121,2.094488188976378,0.8109671950985806,[],"[16, 26, 5, 23]"
122,2.1023622047244093,0.7851260708520693,['100 non attribué'],"[5, 16, 23, 26]"
123,2.0393700787401574,0.8300083648760894,[],"[5, 16, 26]"
124,1.9448818897637796,0.809733315045647,['139 non attribué'],"[16, 5, 26, 23]"
125,2.047244094488189,0.8151177509302046,"['100 non attribué', (4, 'Pas assez : 1<6.0'), (19, 'Pas assez : 1<4.0'), '153 non attribué']","[16, 5, 26, 23]"
126,2.047244094488189,0.843822253499256,[],"[5, 16, 26, 23]"
127,2.0,0.8261595987094035,[],"[26, 5, 16, 23]"
128,2.031496062992126,0.825554242629798,['262 non attribué'],"[5, 17, 16, 26]"
129,2.094488188976378,0.801120949453354,[],"[5, 16, 26]"
130,2.125984251968504,0.786716362274655,"[(16, 'Pas assez : 1<8.0'), '139 non attribué']","[5, 26, 23]"
131,2.094488188976378,0.7911521723284513,['86 non attribué'],"[5, 16, 26, 17]"
132,1.9921259842519685,0.8497998176239777,['153 non attribué'],"[16, 5, 23, 26]"
133,2.047244094488189,0.7954061328249131,[],"[5, 16, 26, 23]"
134,2.1496062992125986,0.7774473917533788,[],"[5, 16, 26]"
135,2.0708661417322833,0.7986208584745023,['153 non attribué'],"[5, 16, 26, 23]"
136,2.173228346456693,0.7247822682247119,"[(16, 'Pas assez : 1<8.0')]","[26, 5, 19]"
137,2.125984251968504,0.8260839534591686,[],"[5, 16, 26]"
138,2.078740157480315,0.8414490450633778,"['73 non attribué', (17, 'Pas assez : 1<6.0'), '86 non attribué']","[16, 5, 26]"
139,2.125984251968504,0.8164200403528284,[],"[16, 5, 26]"
140,1.968503937007874,0.835112461526635,[],"[16, 5, 26, 23]"
141,2.047244094488189,0.7438453043277237,[],"[26, 16, 19, 5, 23]"
142,2.031496062992126,0.825554242629798,[],"[26, 16, 5, 23]"
143,2.031496062992126,0.8631522872680828,"['86 non attribué', '153 non attribué']","[5, 16, 23, 26]"
144,2.094488188976378,0.8303094743961983,[],"[16, 23, 5, 26]"
145,2.0,0.8357108940373449,[],"[16, 26, 5, 23]"
146,2.0393700787401574,0.7807360670541613,[],"[16, 5, 26]"
147,2.015748031496063,0.7557635891432359,[],"[5, 16, 23, 26]"
148,2.1102362204724407,0.8089611843131193,[],"[16, 26, 5, 23]"
149,2.0078740157480315,0.8404086590229363,['86 non attribué'],"[16, 5, 26]"
150,2.0708661417322833,0.8278975318296332,['119 non attribué'],"[5, 16, 26, 23]"
151,2.220472440944882,0.8058652633332504,['147 non attribué'],"[5, 16, 26, 23]"
152,2.078740157480315,0.7828144098060378,[],"[5, 16, 23, 26]"
153,2.125984251968504,0.7967406419555125,[],"[16, 5, 26]"
154,1.889763779527559,0.8658269416941123,['114 non attribué'],"[16, 5, 26, 23]"
155,2.094488188976378,0.8206953194694576,[],"[5, 16, 26, 23]"
